,date,user,source,tweet,location,like_count,retweet_count
24,2022-11-29 18:10:10+00:00,Bdelaziz9,Twitter for Android,"You cannot expect politicians to change when you don’t change them; the people have to learn to fire governments- Prince Adewole Adebayo @Pres_Adebayo 
#HopeAgain2023 
#Adewole https://t.co/k9HFeJubcX",center of earth 🌎 ,56,49
25,2022-11-29 18:10:10+00:00,NaPhJoYaAaAa,Twitter for iPhone,"For the first time Nigerian people are not allowing any money bag convince them on whom to  Vote 🙌 Let’s Come Together For A Better Nigeria,- Prince Adewole Adebayo @Pres_Adebayo 

#HopeAgain2023 https://t.co/iGsNIfxA94","Turin, Piedmont",107,87
26,2022-11-29 18:09:54+00:00,abdulltwitz,Twitter for iPhone,"2023 is a deciding year for Nigerians, we must look beyond political affiliation, we must join hands to elegy a leader who can silver our collective problems- Prince Adewole Adebayo @Pres_Adebayo
#HopeAgain2023 https://t.co/MowyN6Vvz5",,143,122
27,2022-11-29 18:09:16+00:00,AYeseerah,Twitter for Android,"The future is now✓ @Pres_Adebayo 
#hopeAgain2023 https://t.co/mFxbJHrm2T",Trenches,94,78
28,2022-11-29 18:05:59+00:00,TheDipoly,Twitter for iPhone,"if you believe in a better nigeria then you believe in @Pres_Adebayo 💪🏼 
#HopeAgain2023 https://t.co/YjhpGKhbFV",,76,66
29,2022-11-29 18:04:52+00:00,itsmesidex,Twitter for iPhone,"As a leader who is perpetually transparent about what’s required to be done and concisely relaying corporate ambitions and goals,@Pres_Adebayo has a compelling vision for the future of the nation as well as outstanding communication nd crisis handling capabilities.
#HopeAgain2023 https://t.co/KNwdnW6w83","Sidneys, NG",87,83
30,2022-11-29 18:04:22+00:00,Dami_the_goat,Twitter for iPhone,"Don’t just lament, believe in the existence of a better Nigeria and work towards it by supporting @Pres_Adebayo 

#HopeAgain2023 https://t.co/AxRWjWfzVL",,50,48
31,2022-11-29 18:03:26+00:00,timmydeyforyou,Twitter for Android,"BELIVE IN BETTER NIGERIA. support @Pres_Adebayo, he's the right man for the job #HopeAgain2023 https://t.co/2INhuEZB0H",somewhere on earth ,7,6
32,2022-11-29 18:03:09+00:00,Smallmalik01,Twitter for iPhone,"@Pres_Adebayo is a just, democratic and committed leader ready to lead us to the right part … he will restore hope again. #HopeAgain2023 https://t.co/SOomA9DmGa",Ikorodu Lagos + Ilorin Kwara,24,25
33,2022-11-29 18:01:02+00:00,Verratti001,Twitter for Android,"One of the ways out of our current economic woe, is discipline in government budgeting. Government should be sincere with the amounts it allocated to projects 
 _ @Pres_Adebayo  
#Adewole
#HopeAgain2023 https://t.co/rVwHq1rzAB","Federal Capital Territory, Nig",98,91
