,date,user,source,tweet,location,like_count,retweet_count
1634,2022-11-24 15:14:55+00:00,Bolanle_4,Twitter for Android,"Kwarans: ""Atiku, Atiku, Atiku""

#RecoverKwaraWithAtiku #RecoverNigeria  #AtikuInKwara 
#AtikuOkowa2023 #OnlyAtiku 
@DemolaRewaju @SodiqTade @Amb_Balemoh https://t.co/qKlzsPFblW","Lagos, Nigeria",0,1
1635,2022-11-24 15:13:58+00:00,yustaq1,Twitter for Android,"@nigeriantribune In 1999 Nig was broke, btw 1999-2007 Atiku as VP and chair. of NEC, they didn't borrow instead they paid our debt under OBJ.
His VP okowa has reduced his state debt by 50% of when he came in.
#AtikuOkowa2023 mean business and they're on the path to #RecoverNigeria with experience",Around D World,0,0
1636,2022-11-24 15:12:38+00:00,grace_igweh,Twitter for Android,A very big thank you to Kwara State for their massive turnout today to support the rescue mission team #AtikuOkowa. This is just the beginning of a new thing in Nigeria for everyone. https://t.co/UXmJxbxYK9,,3,1
1637,2022-11-24 15:10:30+00:00,peacewill8,Twitter for Android,"Senator Saraki and the Ilorin mammoth crowd here... This is a movement that cannot be stopped walahi.

#AtikuInKwara 
#RecoverNigeria 
#AtikuOkowa2023 https://t.co/ouBXCEihqy",,5,4
1638,2022-11-24 15:09:09+00:00,AAbuSideChick,Twitter for Android,"When women are involved.. 
#AtikuOkowa2023 is a reality
#KwaraPDPPresidentialRally
#AtikuOkowaInKwara
#Recovery2023
#RecoverNigeria https://t.co/q18EuhNq4y",Twitter ,0,0
1639,2022-11-24 15:08:41+00:00,prn_narrative,Twitter for Android,"It is on record that as vice president and head of the economy, H.E Atiku Abubakar recorded giant strides in sustaining trade and commerce and was instrumental to reducing our debt profile as a nation. We deserve a good leader like him.

#AtikuOkowa2023 Babachir Lawal/Ebonyi. https://t.co/lN9lx43T6r","Abuja, Nigeria",2,1
1640,2022-11-24 15:08:06+00:00,chrispoise2,Twitter for Android,"The message is clear and the victory is sure to #RecoverNigeria #AtikuOkowa2023 #AtikuInKwara 
✊🏾🇳🇬📌 https://t.co/wTSBrkXdLH","Abuja, Nigeria",2,2
1641,2022-11-24 15:05:48+00:00,MozezBrown,Twitter for Android,"""One thing is critical, our nation's youth have never, at any point, lacked innovative ideas and unique energy for breakthroughs. What's been missing is the necessary governmental leadership that will throw up opportunities to allow for full expression."" - Atiku

#AtikuOkowa https://t.co/EoFDN82QCR",Nigeria,0,0
1642,2022-11-24 15:05:44+00:00,IssaSolomon1OG,Twitter for Android,"""I pledge I will work with university authorities to end these incessant strikes that are causing unacceptable harm to the ability of our children to get an education."" - Atiku

#AtikuOkowa https://t.co/KQNe2JukM1",Nigeria,0,0
1643,2022-11-24 15:03:35+00:00,imoto_prosper,Twitter for Android,Wow! Mammoth Crowd as Atiku/Okowa Storm Kwara https://t.co/maQdHaDmxh Obvious with this Crowd Atiku Okowa will Win in Kwara.#AtikuOkowa2023 . https://t.co/xhIfJIxJd3,,7,3
1644,2022-11-24 15:02:19+00:00,PDP_NEWMEDIA,Twitter for Android,"@PRukaiyaAtiku @atiku With #AtikuOkowa2023 Nigeria will be great again.
 #AtikuInKwara
#RecoverKwaraWithAtiku","Lagos, Nigeria",7,0
1645,2022-11-24 15:02:12+00:00,Dec_Uche,Twitter for Android,"Omo what a resounding crowd today, in Kwara state. Indeed the state is in the bag of Atiku Abubakar to #RecoverNigeria #AtikuOkowa2023 https://t.co/sDIttpZ7op",,55,21
1646,2022-11-24 15:01:44+00:00,IkehAnthony3,Twitter for Android,"I swear by God no money was given to mobilize anybody. It's organic!

This is our Leader , This is our Structure, This is our Kwara. This is our Pride. 
@bukolasaraki Capacity has Consumed the Propagandas of APC in Kwara. #OsuWa @OfficialPDPNig

#AtikuOkowa2023 #AtikuOkowaInKwara https://t.co/Wc9z40RTsH",Nigeria,4,3
1647,2022-11-24 15:00:00+00:00,daclemx,Twitter Web App,"We go claim Sokoto too

#Vote Peter Obi Ibadan president Peter Obi Donald Duke Atiku Wike Keyamo northerners Arewa seun jagaban Arise TV lagosians Oshiomole Bulaba South South Rufai Lauretta Onochie EnoughIsEnough Obidiot Kizz Daniel AtikuOkowa Bola Tinubu Shettima Adamawa https://t.co/fVcvGUdIJH",Earth,1,0
